,Date,open_spy,close_spy,vol_spy,open_tsla,close_tsla,vol_tsla,daygain_tsla,daygain_spy
0,2010-06-29,106.02,104.21,373649500,19.0,23.89,18766300,4.890000000000001,-1.8100000000000023
1,2010-06-30,103.92,103.22,284101700,25.79,23.83,17187100,-1.9600000000000009,-0.7000000000000028
2,2010-07-01,103.15,102.76,382924800,25.0,21.96,8218800,-3.039999999999999,-0.39000000000000057
3,2010-07-02,103.11,102.2,233385200,23.0,19.2,5139800,-3.8000000000000007,-0.9099999999999966
4,2010-07-06,103.64,102.87,256935300,20.0,16.11,6866900,-3.8900000000000006,-0.769999999999996
5,2010-07-07,103.13,106.11,253769400,16.4,15.8,6921700,-0.5999999999999979,2.980000000000004
6,2010-07-08,107.0,107.16,210842100,16.14,17.46,7711400,1.3200000000000003,0.1599999999999966
7,2010-07-09,107.13,107.96,144999900,17.58,17.4,4050600,-0.17999999999999972,0.8299999999999983
8,2010-07-12,107.6,108.03,131283600,17.95,17.05,2202500,-0.8999999999999986,0.4300000000000068
9,2010-07-13,109.15,109.66,213025900,17.39,18.14,2680100,0.75,0.5099999999999909
10,2010-07-14,109.31,109.65,184426800,17.94,19.84,4195200,1.8999999999999986,0.3400000000000034
11,2010-07-15,109.61,109.68,232337900,19.94,19.89,3739800,-0.05000000000000071,0.07000000000000739
12,2010-07-16,109.09,106.66,282693400,20.7,20.64,2621300,-0.05999999999999872,-2.430000000000007
13,2010-07-19,107.05,107.29,186709000,21.37,21.91,2486500,0.5399999999999991,0.2400000000000091
14,2010-07-20,105.87,108.48,258162400,21.85,20.3,1825300,-1.5500000000000007,2.6099999999999994
15,2010-07-21,109.04,107.07,264527000,20.66,20.22,1252500,-0.4400000000000013,-1.970000000000013
16,2010-07-22,108.34,109.46,274781300,20.5,21.0,957800,0.5,1.1199999999999903
17,2010-07-23,109.24,110.41,222020800,21.19,21.29,653600,0.09999999999999787,1.1700000000000017
18,2010-07-26,110.6,111.56,184445700,21.5,20.95,922200,-0.5500000000000007,0.960000000000008
19,2010-07-27,112.17,111.55,204855600,20.91,20.55,619700,-0.35999999999999943,-0.6200000000000045
20,2010-07-28,111.32,110.83,163056200,20.55,20.72,467200,0.16999999999999815,-0.4899999999999949
21,2010-07-29,111.52,110.29,220149100,20.77,20.35,616000,-0.41999999999999815,-1.2299999999999898
22,2010-07-30,109.17,110.27,220070600,20.2,19.94,426900,-0.259999999999998,1.0999999999999943
23,2010-08-02,111.99,112.76,188263200,20.5,20.92,718100,0.4200000000000017,0.7700000000000102
24,2010-08-03,112.48,112.22,146657300,21.0,21.95,1230500,0.9499999999999993,-0.2600000000000051
25,2010-08-04,112.53,112.97,158171700,21.95,21.26,913000,-0.6899999999999977,0.4399999999999977
26,2010-08-05,112.25,112.85,140473800,21.54,20.45,796200,-1.0899999999999999,0.5999999999999943
27,2010-08-06,111.74,112.39,239728300,20.1,19.59,741900,-0.5100000000000016,0.6500000000000057
28,2010-08-09,112.92,112.99,120800400,19.9,19.6,812700,-0.29999999999999716,0.06999999999999318
29,2010-08-10,112.03,112.38,242916300,19.65,19.03,1281300,-0.6199999999999974,0.3499999999999943
30,2010-08-11,110.65,109.3,273406900,18.69,17.9,797600,-0.7900000000000027,-1.3500000000000085
31,2010-08-12,107.65,108.63,239542600,17.8,17.6,691000,-0.1999999999999993,0.9799999999999898
32,2010-08-13,108.29,108.31,158698500,18.18,18.32,634000,0.14000000000000057,0.01999999999999602
33,2010-08-16,107.57,108.26,147895300,18.45,18.78,485800,0.33000000000000185,0.6900000000000119
34,2010-08-17,109.19,109.59,172270300,18.96,19.15,447900,0.18999999999999773,0.4000000000000057
35,2010-08-18,109.54,109.79,182922100,19.59,18.77,601300,-0.8200000000000003,0.25
36,2010-08-19,109.22,107.88,265847600,18.54,18.79,579100,0.25,-1.3400000000000034
37,2010-08-20,107.56,107.53,209714200,18.65,19.1,296000,0.45000000000000284,-0.030000000000001137
38,2010-08-23,108.04,107.12,163490300,19.09,20.13,1088100,1.0399999999999991,-0.9200000000000017
39,2010-08-24,105.95,105.53,280677800,19.25,19.2,673100,-0.05000000000000071,-0.4200000000000017
40,2010-08-25,104.95,105.94,272234800,19.16,19.9,503300,0.7399999999999984,0.9899999999999949
41,2010-08-26,106.44,105.23,224439500,19.89,19.75,433800,-0.14000000000000057,-1.2099999999999937
42,2010-08-27,105.89,106.86,272649000,19.75,19.7,379600,-0.05000000000000071,0.9699999999999989
43,2010-08-30,106.58,105.31,167238600,19.7,19.87,732800,0.1700000000000017,-1.269999999999996
44,2010-08-31,104.92,105.31,273933100,19.66,19.48,201100,-0.17999999999999972,0.39000000000000057
45,2010-09-01,106.73,108.46,256828100,19.62,20.45,494900,0.8299999999999983,1.7299999999999898
46,2010-09-02,108.72,109.47,156112200,20.37,21.06,487100,0.6899999999999977,0.75
47,2010-09-03,110.54,110.89,212197300,20.87,21.05,434600,0.17999999999999972,0.3499999999999943
48,2010-09-07,110.37,109.64,141973700,20.61,20.54,243400,-0.07000000000000028,-0.730000000000004
49,2010-09-08,109.86,110.41,149924400,20.66,20.9,288400,0.23999999999999844,0.5499999999999972
50,2010-09-09,111.65,110.92,147017900,21.0,20.71,376200,-0.28999999999999915,-0.730000000000004
